"Age_cat","Year","Num_child","Add_child_1","Add_chl_pyy"
"15-19",2015,"0",0.106,0.0212
"20-24",2015,"0",0.47,0.094
"25-29",2015,"0",0.737,0.1474
"30-34",2015,"0",0.87,0.174
"35-39",2015,"0",0.907,0.1814
"40-44",2015,"0",0.928,0.1856
"45-49",2015,"0",0.936,0.1872
"15-19",2016,"0",0.101,0.0202
"20-24",2016,"0",0.458,0.0916
"25-29",2016,"0",0.742,0.1484
"30-34",2016,"0",0.866,0.1732
"35-39",2016,"0",0.9,0.18
"40-44",2016,"0",0.929,0.1858
"45-49",2016,"0",0.932,0.1864
"15-19",2017,"0",0.106,0.0212
"20-24",2017,"0",0.451,0.0902
"25-29",2017,"0",0.735,0.147
"30-34",2017,"0",0.851,0.1702
"35-39",2017,"0",0.893,0.1786
"40-44",2017,"0",0.919,0.1838
"45-49",2017,"0",0.931,0.1862
"15-19",2018,"0",0.093,0.0186
"20-24",2018,"0",0.43,0.086
"25-29",2018,"0",0.704,0.1408
"30-34",2018,"0",0.843,0.1686
"35-39",2018,"0",0.899,0.1798
"40-44",2018,"0",0.928,0.1856
"45-49",2018,"0",0.928,0.1856
"15-19",2019,"0",0.065,0.013
"20-24",2019,"0",0.352,0.0704
"25-29",2019,"0",0.667,0.1334
"30-34",2019,"0",0.841,0.1682
"35-39",2019,"0",0.913,0.1826
"40-44",2019,"0",0.935,0.187
"45-49",2019,"0",0.94,0.188
"15-19",2015,"1",0.011,0.0022
"20-24",2015,"1",0.147,0.0294
"25-29",2015,"1",0.409,0.0818
"30-34",2015,"1",0.626,0.1252
"35-39",2015,"1",0.748,0.1496
"40-44",2015,"1",0.811,0.1622
"45-49",2015,"1",0.835,0.167
"15-19",2016,"1",0.012,0.0024
"20-24",2016,"1",0.149,0.0298
"25-29",2016,"1",0.418,0.0836
"30-34",2016,"1",0.616,0.1232
"35-39",2016,"1",0.739,0.1478
"40-44",2016,"1",0.819,0.1638
"45-49",2016,"1",0.836,0.1672
"15-19",2017,"1",0.01,0.002
"20-24",2017,"1",0.144,0.0288
"25-29",2017,"1",0.405,0.081
"30-34",2017,"1",0.604,0.1208
"35-39",2017,"1",0.722,0.1444
"40-44",2017,"1",0.792,0.1584
"45-49",2017,"1",0.828,0.1656
"15-19",2018,"1",0.011,0.0022
"20-24",2018,"1",0.131,0.0262
"25-29",2018,"1",0.37,0.074
"30-34",2018,"1",0.594,0.1188
"35-39",2018,"1",0.727,0.1454
"40-44",2018,"1",0.783,0.1566
"45-49",2018,"1",0.818,0.1636
"15-19",2019,"1",0.007,0.0014
"20-24",2019,"1",0.102,0.0204
"25-29",2019,"1",0.349,0.0698
"30-34",2019,"1",0.583,0.1166
"35-39",2019,"1",0.736,0.1472
"40-44",2019,"1",0.804,0.1608
"45-49",2019,"1",0.814,0.1628
"15-19",2015,"2",0,0
"20-24",2015,"2",0.03,0.006
"25-29",2015,"2",0.143,0.0286
"30-34",2015,"2",0.313,0.0626
"35-39",2015,"2",0.44,0.088
"40-44",2015,"2",0.544,0.1088
"45-49",2015,"2",0.609,0.1218
"15-19",2016,"2",0.001,2e-04
"20-24",2016,"2",0.031,0.0062
"25-29",2016,"2",0.145,0.029
"30-34",2016,"2",0.296,0.0592
"35-39",2016,"2",0.434,0.0868
"40-44",2016,"2",0.55,0.11
"45-49",2016,"2",0.616,0.1232
"15-19",2017,"2",0,0
"20-24",2017,"2",0.029,0.0058
"25-29",2017,"2",0.133,0.0266
"30-34",2017,"2",0.277,0.0554
"35-39",2017,"2",0.424,0.0848
"40-44",2017,"2",0.526,0.1052
"45-49",2017,"2",0.598,0.1196
"15-19",2018,"2",0.001,2e-04
"20-24",2018,"2",0.025,0.005
"25-29",2018,"2",0.117,0.0234
"30-34",2018,"2",0.274,0.0548
"35-39",2018,"2",0.409,0.0818
"40-44",2018,"2",0.503,0.1006
"45-49",2018,"2",0.568,0.1136
"15-19",2019,"2",0.001,2e-04
"20-24",2019,"2",0.017,0.0034
"25-29",2019,"2",0.103,0.0206
"30-34",2019,"2",0.265,0.053
"35-39",2019,"2",0.417,0.0834
"40-44",2019,"2",0.524,0.1048
"45-49",2019,"2",0.526,0.1052
"15-19",2015,"3",0,0
"20-24",2015,"3",0.004,8e-04
"25-29",2015,"3",0.042,0.0084
"30-34",2015,"3",0.129,0.0258
"35-39",2015,"3",0.228,0.0456
