"Age_cat","Year","Num_child","Percentage","probs"
"15-19",2015,"0",89.4,0.894
"20-24",2015,"0",53,0.53
"25-29",2015,"0",26.3,0.263
"30-34",2015,"0",13,0.13
"35-39",2015,"0",9.3,0.093
"40-44",2015,"0",7.2,0.072
"45-49",2015,"0",6.4,0.064
"15-19",2016,"0",89.9,0.899
"20-24",2016,"0",54.2,0.542
"25-29",2016,"0",25.8,0.258
"30-34",2016,"0",13.4,0.134
"35-39",2016,"0",10,0.1
"40-44",2016,"0",7.1,0.071
"45-49",2016,"0",6.8,0.068
"15-19",2017,"0",89.4,0.894
"20-24",2017,"0",54.9,0.549
"25-29",2017,"0",26.5,0.265
"30-34",2017,"0",14.9,0.149
"35-39",2017,"0",10.7,0.107
"40-44",2017,"0",8.1,0.081
"45-49",2017,"0",6.9,0.069
"15-19",2018,"0",90.7,0.907
"20-24",2018,"0",57,0.57
"25-29",2018,"0",29.6,0.296
"30-34",2018,"0",15.7,0.157
"35-39",2018,"0",10.1,0.101
"40-44",2018,"0",7,0.07
"45-49",2018,"0",7.2,0.072
"15-19",2019,"0",93.5,0.935
"20-24",2019,"0",64.8,0.648
"25-29",2019,"0",33.3,0.333
"30-34",2019,"0",15.9,0.159
"35-39",2019,"0",8.7,0.087
"40-44",2019,"0",6.5,0.065
"45-49",2019,"0",6,0.06
"15-19",2015,"1",9.5,0.095
"20-24",2015,"1",32.3,0.323
"25-29",2015,"1",32.8,0.328
"30-34",2015,"1",24.4,0.244
"35-39",2015,"1",16,0.16
"40-44",2015,"1",11.7,0.117
"45-49",2015,"1",10.1,0.101
"15-19",2016,"1",8.9,0.089
"20-24",2016,"1",30.9,0.309
"25-29",2016,"1",32.4,0.324
"30-34",2016,"1",24.9,0.249
"35-39",2016,"1",16.2,0.162
"40-44",2016,"1",11.1,0.111
"45-49",2016,"1",9.7,0.097
"15-19",2017,"1",9.6,0.096
"20-24",2017,"1",30.8,0.308
"25-29",2017,"1",33,0.33
"30-34",2017,"1",24.6,0.246
"35-39",2017,"1",17.2,0.172
"40-44",2017,"1",12.8,0.128
"45-49",2017,"1",10.4,0.104
"15-19",2018,"1",8.3,0.083
"20-24",2018,"1",29.9,0.299
