"Age_cat","Gender","Probs18","Probs19"
">79","Female",0.0835456721488688,0.0849853173116303
">79","Male",0.0983260989375696,0.0992420163194301
"0-4","Female",0.00135822277803012,0.00185213529049899
"0-4","Male",0.00154104820886631,0.00206861649410624
"10-14","Female",0.000260343683162475,0.000282558211406522
"10-14","Male",0.000341055059210748,0.000338545050312559
"15-19","Female",0.000433010060840258,0.000456483246748939
"15-19","Male",0.000647898296459413,0.000788203964665942
"20-24","Female",0.000472346899739808,0.000481256078364531
"20-24","Male",0.00011538053033782,0.0012300447550038
"25-29","Female",0.00058421515064624,0.000607547906829733
"25-29","Male",0.00122951940164431,0.00137343824004028
"30-34","Female",0.000697098925954351,0.000769822318869613
"30-34","Male",0.00140676546224381,0.00143471346587802
"35-39","Female",0.000944369026084722,0.0010086044451364
"35-39","Male",0.0016700432808592,0.00169087649790974
"40-44","Female",0.00143465256600958,0.00142825539020622
"40-44","Male",0.00214342281956225,0.00213125771599302
"45-49","Female",0.00211856780158093,0.0021423359257573
"45-49","Male",0.00291024590623913,0.00291344977759802
"5-9","Female",0.000245663409956567,0.000250481417694463
"5-9","Male",0.000276668247972971,0.000314660969542603
"50-54","Female",0.00311426936283861,0.00297869524790151
"50-54","Male",0.00410557551147899,0.00402720601396098
"55-59","Female",0.00438837391543767,0.0043297250017398
"55-59","Male",0.00594407989169796,0.00561684306034268
"60-64","Female",0.00651202318116428,0.00662863451120638
"60-64","Male",0.0087040796472847,0.00891902607562853
"65-69","Female",0.00966823880698302,0.0097904178974228
"65-69","Male",0.0127369281607024,0.013003122737636
"70-74","Female",0.0160289614189274,0.0165350566280354
"70-74","Male",0.0207628013638695,0.0212372667963832
"75-79","Female",0.0263043919864166,0.0266598032825739
"75-79","Male",0.0340004313133491,0.0337231132998364
