"age_cat","prob","gender","role"
"1",0,"mujer","Chief"
"2",0,"mujer","Chief"
"3",0,"mujer","Chief"
"4",0.0043069694596711,"mujer","Chief"
"5",0.023884103367267,"mujer","Chief"
"6",0.0473766640563821,"mujer","Chief"
"7",0.0614722004698512,"mujer","Chief"
"8",0.096319498825372,"mujer","Chief"
"9",0.113547376664056,"mujer","Chief"
"10",0.122944400939702,"mujer","Chief"
"11",0.0974941268598277,"mujer","Chief"
"12",0.115505090054816,"mujer","Chief"
"13",0.0900548159749413,"mujer","Chief"
"14",0.0751761942051684,"mujer","Chief"
"15",0.0571652310101801,"mujer","Chief"
"16",0.0493343774471417,"mujer","Chief"
"17",0.0454189506656225,"mujer","Chief"
