"age_cat","prob","gender","role"
"1",0,"hombre","Chief"
"2",0,"hombre","Chief"
"3",0,"hombre","Chief"
"4",0.00302652661563112,"hombre","Chief"
"5",0.0176250667616165,"hombre","Chief"
"6",0.051450952465729,"hombre","Chief"
"7",0.0858109311020118,"hombre","Chief"
"8",0.0989852234288766,"hombre","Chief"
"9",0.117856507032224,"hombre","Chief"
"10",0.13512551183906,"hombre","Chief"
"11",0.114651949439202,"hombre","Chief"
"12",0.100231440270607,"hombre","Chief"
"13",0.0850988071924515,"hombre","Chief"
"14",0.0708563290012462,"hombre","Chief"
"15",0.0503827666013886,"hombre","Chief"
"16",0.0364963503649635,"hombre","Chief"
"17",0.032401637884992,"hombre","Chief"
