"age_cat","prob","gender","role"
"1",0.0931526913218601,"mujer","Non-chief"
"2",0.0968143537165873,"mujer","Non-chief"
"3",0.0993042841450018,"mujer","Non-chief"
"4",0.103771512266569,"mujer","Non-chief"
"5",0.0967411204686928,"mujer","Non-chief"
"6",0.0827535701208349,"mujer","Non-chief"
"7",0.072134749176126,"mujer","Non-chief"
"8",0.0630538264372025,"mujer","Non-chief"
"9",0.0629805931893079,"mujer","Non-chief"
"10",0.0568290003661662,"mujer","Non-chief"
"11",0.0451116807030392,"mujer","Non-chief"
"12",0.0316367630904431,"mujer","Non-chief"
"13",0.0299523983888685,"mujer","Non-chief"
"14",0.022482607103625,"mujer","Non-chief"
"15",0.0147931160746979,"mujer","Non-chief"
"16",0.0117905529110216,"mujer","Non-chief"
"17",0.0166971805199561,"mujer","Non-chief"
