"age_cat","prob","gender","role"
"1",0.135881986287139,"hombre","Non-chief"
"2",0.153750259713277,"hombre","Non-chief"
"3",0.144608352378974,"hombre","Non-chief"
"4",0.152088094743403,"hombre","Non-chief"
"5",0.130479950135051,"hombre","Non-chief"
"6",0.088406399335134,"hombre","Non-chief"
"7",0.052773737793476,"hombre","Non-chief"
"8",0.0372948265115313,"hombre","Non-chief"
"9",0.0278412632453771,"hombre","Non-chief"
"10",0.01849158528984,"hombre","Non-chief"
"11",0.0141284022439227,"hombre","Non-chief"
"12",0.0121545813421982,"hombre","Non-chief"
"13",0.00737585705381259,"hombre","Non-chief"
"14",0.0068564305007272,"hombre","Non-chief"
"15",0.00498649490961978,"hombre","Non-chief"
"16",0.00425929773530023,"hombre","Non-chief"
"17",0.00862248078121754,"hombre","Non-chief"
