"inc_cat","exp_cat","sel","probs"
"1","1","B",0.313432835820896
"1","2","B",0.582089552238806
"1","3","B",0.0895522388059701
"1","4","B",0.0149253731343284
"1","5","B",0
"2","1","B",0.0970149253731343
"2","2","B",0.582089552238806
"2","3","B",0.208955223880597
"2","4","B",0.0895522388059701
"2","5","B",0.0223880597014925
"3","1","B",0
"3","2","B",0.375
"3","3","B",0.303571428571429
"3","4","B",0.232142857142857
"3","5","B",0.0892857142857143
"4","1","B",0.03125
"4","2","B",0.28125
"4","3","B",0.21875
"4","4","B",0.25
"4","5","B",0.21875
"5","1","B",0
"5","2","B",0.0285714285714286
"5","3","B",0.228571428571429
"5","4","B",0.257142857142857
"5","5","B",0.485714285714286
"1","1","C",0.384615384615385
"1","2","C",0.514423076923077
"1","3","C",0.0865384615384615
"1","4","C",0.00480769230769231
"1","5","C",0.00961538461538462
"2","1","C",0.172316384180791
"2","2","C",0.494350282485876
"2","3","C",0.228813559322034
"2","4","C",0.0706214689265537
"2","5","C",0.0338983050847458
"3","1","C",0.0459770114942529
"3","2","C",0.270114942528736
"3","3","C",0.379310344827586
"3","4","C",0.201149425287356
"3","5","C",0.103448275862069
"4","1","C",0.0246913580246914
"4","2","C",0.185185185185185
"4","3","C",0.407407407407407
"4","4","C",0.209876543209877
"4","5","C",0.172839506172839
"5","1","C",0
"5","2","C",0.134020618556701
"5","3","C",0.185567010309278
"5","4","C",0.195876288659794
"5","5","C",0.484536082474227
"1","1","D",0.348837209302326
"1","2","D",0.499388004895961
"1","3","D",0.129742962056304
"1","4","D",0.01468788249694
"1","5","D",0.00734394124847001
"2","1","D",0.109129814550642
"2","2","D",0.512125534950071
"2","3","D",0.271754636233952
"2","4","D",0.079885877318117
"2","5","D",0.0271041369472183
"3","1","D",0.045398773006135
"3","2","D",0.32760736196319
"3","3","D",0.374233128834356
"3","4","D",0.153374233128834
"3","5","D",0.0993865030674847
"4","1","D",0.0140845070422535
"4","2","D",0.233802816901408
"4","3","D",0.298591549295775
"4","4","D",0.247887323943662
"4","5","D",0.205633802816901
"5","1","D",0.0078740157480315
"5","2","D",0.115485564304462
"5","3","D",0.175853018372703
"5","4","D",0.215223097112861
"5","5","D",0.485564304461942
