"t0","t1","combo_cnt","cnt","probs","roles","gender","age_c"
"No","No",0,0,0,"Chief","hombre","1"
"No","Yes",0,0,0,"Chief","hombre","1"
"Yes","No",0,0,0,"Chief","hombre","1"
"Yes","Yes",0,0,0,"Chief","hombre","1"
"No","No",0,0,0,"Non-chief","hombre","1"
"No","Yes",0,0,0,"Non-chief","hombre","1"
"Yes","No",0,0,0,"Non-chief","hombre","1"
"Yes","Yes",0,0,0,"Non-chief","hombre","1"
"No","No",0,0,0,"Chief","hombre","2"
"No","Yes",0,0,0,"Chief","hombre","2"
"Yes","No",0,0,0,"Chief","hombre","2"
"Yes","Yes",0,0,0,"Chief","hombre","2"
"No","No",0,0,0,"Non-chief","hombre","2"
"No","Yes",0,0,0,"Non-chief","hombre","2"
"Yes","No",0,0,0,"Non-chief","hombre","2"
"Yes","Yes",0,0,0,"Non-chief","hombre","2"
"No","No",0,0,0,"Chief","hombre","3"
"No","Yes",0,0,0,"Chief","hombre","3"
"Yes","No",0,0,0,"Chief","hombre","3"
"Yes","Yes",0,0,0,"Chief","hombre","3"
"No","No",36,54,0.666666666666667,"Non-chief","hombre","3"
"No","Yes",18,54,0.333333333333333,"Non-chief","hombre","3"
"Yes","No",8,28,0.285714285714286,"Non-chief","hombre","3"
"Yes","Yes",20,28,0.714285714285714,"Non-chief","hombre","3"
"Yes","Yes",5,5,1,"Chief","hombre","4"
"No","No",102,196,0.520408163265306,"Non-chief","hombre","4"
"No","Yes",94,196,0.479591836734694,"Non-chief","hombre","4"
"Yes","No",65,217,0.299539170506912,"Non-chief","hombre","4"
"Yes","Yes",152,217,0.700460829493088,"Non-chief","hombre","4"
"Yes","No",1,23,0.0434782608695652,"Chief","hombre","5"
"Yes","Yes",22,23,0.956521739130435,"Chief","hombre","5"
"No","No",31,83,0.373493975903614,"Non-chief","hombre","5"
"No","Yes",52,83,0.626506024096386,"Non-chief","hombre","5"
"Yes","No",38,233,0.163090128755365,"Non-chief","hombre","5"
"Yes","Yes",195,233,0.836909871244635,"Non-chief","hombre","5"
"No","Yes",4,4,1,"Chief","hombre","6"
"Yes","Yes",54,54,1,"Chief","hombre","6"
"No","No",15,37,0.405405405405405,"Non-chief","hombre","6"
"No","Yes",22,37,0.594594594594595,"Non-chief","hombre","6"
"Yes","No",24,158,0.151898734177215,"Non-chief","hombre","6"
"Yes","Yes",134,158,0.848101265822785,"Non-chief","hombre","6"
"No","No",0,3,0,"Chief","hombre","7"
"No","Yes",3,3,1,"Chief","hombre","7"
"Yes","No",2,99,0.0202020202020202,"Chief","hombre","7"
"Yes","Yes",97,99,0.97979797979798,"Chief","hombre","7"
"No","No",6,18,0.333333333333333,"Non-chief","hombre","7"
"No","Yes",12,18,0.666666666666667,"Non-chief","hombre","7"
"Yes","No",11,115,0.0956521739130435,"Non-chief","hombre","7"
"Yes","Yes",104,115,0.904347826086957,"Non-chief","hombre","7"
"No","No",1,3,0.333333333333333,"Chief","hombre","8"
"No","Yes",2,3,0.666666666666667,"Chief","hombre","8"
"Yes","No",5,164,0.0304878048780488,"Chief","hombre","8"
"Yes","Yes",159,164,0.969512195121951,"Chief","hombre","8"
"No","No",2,6,0.333333333333333,"Non-chief","hombre","8"
"No","Yes",4,6,0.666666666666667,"Non-chief","hombre","8"
"Yes","No",3,76,0.0394736842105263,"Non-chief","hombre","8"
"Yes","Yes",73,76,0.960526315789474,"Non-chief","hombre","8"
"No","No",2,7,0.285714285714286,"Chief","hombre","9"
"No","Yes",5,7,0.714285714285714,"Chief","hombre","9"
"Yes","No",5,164,0.0304878048780488,"Chief","hombre","9"
"Yes","Yes",159,164,0.969512195121951,"Chief","hombre","9"
"No","No",3,8,0.375,"Non-chief","hombre","9"
"No","Yes",5,8,0.625,"Non-chief","hombre","9"
"Yes","No",3,72,0.0416666666666667,"Non-chief","hombre","9"
"Yes","Yes",69,72,0.958333333333333,"Non-chief","hombre","9"
"No","No",4,12,0.333333333333333,"Chief","hombre","10"
"No","Yes",8,12,0.666666666666667,"Chief","hombre","10"
"Yes","No",2,204,0.00980392156862745,"Chief","hombre","10"
"Yes","Yes",202,204,0.990196078431373,"Chief","hombre","10"
"No","No",3,5,0.6,"Non-chief","hombre","10"
"No","Yes",2,5,0.4,"Non-chief","hombre","10"
"Yes","No",1,29,0.0344827586206897,"Non-chief","hombre","10"
"Yes","Yes",28,29,0.96551724137931,"Non-chief","hombre","10"
"No","No",1,8,0.125,"Chief","hombre","11"
"No","Yes",7,8,0.875,"Chief","hombre","11"
"Yes","No",7,159,0.0440251572327044,"Chief","hombre","11"
"Yes","Yes",152,159,0.955974842767296,"Chief","hombre","11"
"No","No",0,4,0,"Non-chief","hombre","11"
"No","Yes",4,4,1,"Non-chief","hombre","11"
"Yes","No",2,28,0.0714285714285714,"Non-chief","hombre","11"
"Yes","Yes",26,28,0.928571428571429,"Non-chief","hombre","11"
"No","No",1,6,0.166666666666667,"Chief","hombre","12"
"No","Yes",5,6,0.833333333333333,"Chief","hombre","12"
"Yes","No",8,157,0.0509554140127389,"Chief","hombre","12"
"Yes","Yes",149,157,0.949044585987261,"Chief","hombre","12"
"No","No",3,5,0.6,"Non-chief","hombre","12"
"No","Yes",2,5,0.4,"Non-chief","hombre","12"
"Yes","No",0,19,0,"Non-chief","hombre","12"
"Yes","Yes",19,19,1,"Non-chief","hombre","12"
"No","No",4,12,0.333333333333333,"Chief","hombre","13"
"No","Yes",8,12,0.666666666666667,"Chief","hombre","13"
"Yes","No",4,128,0.03125,"Chief","hombre","13"
"Yes","Yes",124,128,0.96875,"Chief","hombre","13"
"No","Yes",3,3,1,"Non-chief","hombre","13"
"Yes","Yes",17,17,1,"Non-chief","hombre","13"
"No","No",2,8,0.25,"Chief","hombre","14"
"No","Yes",6,8,0.75,"Chief","hombre","14"
"Yes","No",3,127,0.0236220472440945,"Chief","hombre","14"
"Yes","Yes",124,127,0.976377952755906,"Chief","hombre","14"
"No","No",1,3,0.333333333333333,"Non-chief","hombre","14"
"No","Yes",2,3,0.666666666666667,"Non-chief","hombre","14"
"Yes","No",2,9,0.222222222222222,"Non-chief","hombre","14"
"Yes","Yes",7,9,0.777777777777778,"Non-chief","hombre","14"
"No","No",3,5,0.6,"Chief","hombre","15"
"No","Yes",2,5,0.4,"Chief","hombre","15"
"Yes","No",2,77,0.025974025974026,"Chief","hombre","15"
"Yes","Yes",75,77,0.974025974025974,"Chief","hombre","15"
"No","No",1,1,1,"Non-chief","hombre","15"
"No","Yes",0,1,0,"Non-chief","hombre","15"
"Yes","No",1,8,0.125,"Non-chief","hombre","15"
"Yes","Yes",7,8,0.875,"Non-chief","hombre","15"
"No","No",8,12,0.666666666666667,"Chief","hombre","16"
"No","Yes",4,12,0.333333333333333,"Chief","hombre","16"
"Yes","No",3,58,0.0517241379310345,"Chief","hombre","16"
"Yes","Yes",55,58,0.948275862068966,"Chief","hombre","16"
"No","Yes",2,2,1,"Non-chief","hombre","16"
"Yes","Yes",3,3,1,"Non-chief","hombre","16"
"No","No",0,1,0,"Chief","hombre","17"
"No","Yes",1,1,1,"Chief","hombre","17"
"Yes","No",3,56,0.0535714285714286,"Chief","hombre","17"
"Yes","Yes",53,56,0.946428571428571,"Chief","hombre","17"
"No","No",6,7,0.857142857142857,"Non-chief","hombre","17"
"No","Yes",1,7,0.142857142857143,"Non-chief","hombre","17"
"Yes","No",1,16,0.0625,"Non-chief","hombre","17"
"Yes","Yes",15,16,0.9375,"Non-chief","hombre","17"
"No","No",0,0,0,"Chief","mujer","1"
"No","Yes",0,0,0,"Chief","mujer","1"
"Yes","No",0,0,0,"Chief","mujer","1"
"Yes","Yes",0,0,0,"Chief","mujer","1"
"No","No",0,0,0,"Non-chief","mujer","1"
"No","Yes",0,0,0,"Non-chief","mujer","1"
"Yes","No",0,0,0,"Non-chief","mujer","1"
"Yes","Yes",0,0,0,"Non-chief","mujer","1"
"No","No",0,0,0,"Chief","mujer","2"
"No","Yes",0,0,0,"Chief","mujer","2"
"Yes","No",0,0,0,"Chief","mujer","2"
"Yes","Yes",0,0,0,"Chief","mujer","2"
"No","No",0,0,0,"Non-chief","mujer","2"
"No","Yes",0,0,0,"Non-chief","mujer","2"
"Yes","No",0,0,0,"Non-chief","mujer","2"
"Yes","Yes",0,0,0,"Non-chief","mujer","2"
"No","No",0,0,0,"Chief","mujer","3"
"No","Yes",0,0,0,"Chief","mujer","3"
"Yes","No",0,0,0,"Chief","mujer","3"
"Yes","Yes",0,0,0,"Chief","mujer","3"
"No","No",27,38,0.710526315789474,"Non-chief","mujer","3"
"No","Yes",11,38,0.289473684210526,"Non-chief","mujer","3"
"Yes","No",15,29,0.517241379310345,"Non-chief","mujer","3"
"Yes","Yes",14,29,0.482758620689655,"Non-chief","mujer","3"
"No","No",0,1,0,"Chief","mujer","4"
"No","Yes",1,1,1,"Chief","mujer","4"
"Yes","No",1,2,0.5,"Chief","mujer","4"
"Yes","Yes",1,2,0.5,"Chief","mujer","4"
"No","No",116,192,0.604166666666667,"Non-chief","mujer","4"
"No","Yes",76,192,0.395833333333333,"Non-chief","mujer","4"
"Yes","No",53,142,0.373239436619718,"Non-chief","mujer","4"
"Yes","Yes",89,142,0.626760563380282,"Non-chief","mujer","4"
"No","No",1,1,1,"Chief","mujer","5"
"No","Yes",0,1,0,"Chief","mujer","5"
"Yes","No",1,15,0.0666666666666667,"Chief","mujer","5"
"Yes","Yes",14,15,0.933333333333333,"Chief","mujer","5"
"No","No",71,127,0.559055118110236,"Non-chief","mujer","5"
