"state0","state1","combo_cnt","cnt","probs","SEL"
"1","1",6,16,0.375,1
"1","2",10,16,0.625,1
"1","3",0,16,0,1
"1","4",0,16,0,1
"1","5",0,16,0,1
"2","1",11,47,0.234042553191489,1
"2","2",26,47,0.553191489361702,1
"2","3",9,47,0.191489361702128,1
"2","4",1,47,0.0212765957446809,1
"2","5",0,47,0,1
"3","1",1,15,0.0666666666666667,1
"3","2",5,15,0.333333333333333,1
"3","3",6,15,0.4,1
"3","4",1,15,0.0666666666666667,1
"3","5",2,15,0.133333333333333,1
"4","1",0,11,0,1
"4","2",4,11,0.363636363636364,1
"4","3",3,11,0.272727272727273,1
"4","4",2,11,0.181818181818182,1
"4","5",2,11,0.181818181818182,1
"5","1",0,8,0,1
"5","2",0,8,0,1
"5","3",2,8,0.25,1
"5","4",1,8,0.125,1
"5","5",5,8,0.625,1
"1","1",26,54,0.481481481481481,2
"1","2",22,54,0.407407407407407,2
"1","3",5,54,0.0925925925925926,2
"1","4",1,54,0.0185185185185185,2
"1","5",0,54,0,2
"2","1",13,80,0.1625,2
"2","2",36,80,0.45,2
"2","3",20,80,0.25,2
"2","4",9,80,0.1125,2
"2","5",2,80,0.025,2
"3","1",2,38,0.0526315789473684,2
"3","2",8,38,0.210526315789474,2
"3","3",17,38,0.447368421052632,2
"3","4",4,38,0.105263157894737,2
"3","5",7,38,0.184210526315789,2
"4","1",0,25,0,2
"4","2",4,25,0.16,2
"4","3",10,25,0.4,2
"4","4",7,25,0.28,2
"4","5",4,25,0.16,2
"5","1",0,27,0,2
"5","2",1,27,0.037037037037037,2
"5","3",4,27,0.148148148148148,2
"5","4",4,27,0.148148148148148,2
"5","5",18,27,0.666666666666667,2
"1","1",140,255,0.549019607843137,3
"1","2",90,255,0.352941176470588,3
"1","3",21,255,0.0823529411764706,3
"1","4",1,255,0.00392156862745098,3
"1","5",3,255,0.0117647058823529,3
"2","1",88,423,0.208037825059102,3
"2","2",214,423,0.505910165484634,3
"2","3",89,423,0.210401891252955,3
"2","4",22,423,0.0520094562647754,3
"2","5",10,423,0.0236406619385343,3
"3","1",17,247,0.0688259109311741,3
"3","2",103,247,0.417004048582996,3
"3","3",72,247,0.291497975708502,3
"3","4",28,247,0.11336032388664,3
"3","5",27,247,0.109311740890688,3
"4","1",2,116,0.0172413793103448,3
"4","2",26,116,0.224137931034483,3
"4","3",39,116,0.336206896551724,3
"4","4",23,116,0.198275862068966,3
"4","5",26,116,0.224137931034483,3
"5","1",1,99,0.0101010101010101,3
"5","2",12,99,0.121212121212121,3
"5","3",13,99,0.131313131313131,3
"5","4",10,99,0.101010101010101,3
"5","5",61,99,0.616161616161616,3
