"gender","age_cat","count_left","tot_count","prob"
"hombre","1",44,372,0.118279569892473
"hombre","10",14,266,0.0526315789473684
"hombre","11",12,214,0.0560747663551402
"hombre","12",8,199,0.0402010050251256
"hombre","13",3,166,0.0180722891566265
"hombre","14",3,151,0.0198675496688742
"hombre","15",5,99,0.0505050505050505
"hombre","16",3,81,0.037037037037037
"hombre","17",1,86,0.0116279069767442
"hombre","2",37,403,0.0918114143920596
"hombre","3",28,437,0.0640732265446224
"hombre","4",34,452,0.0752212389380531
"hombre","5",63,403,0.156327543424318
"hombre","6",59,314,0.187898089171975
"hombre","7",35,267,0.131086142322097
"hombre","8",25,281,0.0889679715302491
"hombre","9",18,273,0.0659340659340659
"mujer","1",50,373,0.134048257372654
"mujer","10",17,350,0.0485714285714286
"mujer","11",5,272,0.0183823529411765
"mujer","12",6,220,0.0272727272727273
"mujer","13",5,202,0.0247524752475248
"mujer","14",5,157,0.0318471337579618
"mujer","15",7,105,0.0666666666666667
"mujer","16",2,92,0.0217391304347826
"mujer","17",6,115,0.0521739130434783
"mujer","2",29,347,0.0835734870317003
"mujer","3",34,374,0.0909090909090909
"mujer","4",56,396,0.141414141414141
"mujer","5",58,405,0.14320987654321
"mujer","6",59,335,0.176119402985075
"mujer","7",48,328,0.146341463414634
"mujer","8",16,312,0.0512820512820513
"mujer","9",12,327,0.036697247706422
