Age_cat,Year,Gender,Deaths,,
0-4,2018,Female,1842,,
"""05-09""",2018,Female,331,,
"""10-14""",2018,Female,353,,
15-19,2018,Female,554,,
20-24,2018,Female,647,,
25-29,2018,Female,762,,
30-34,2018,Female,842,,
35-39,2018,Female,1088,,
40-44,2018,Female,1521,,
45-49,2018,Female,2001,,
50-54,2018,Female,2612,,
55-59,2018,Female,3108,,
60-64,2018,Female,3816,,
65-69,2018,Female,4559,,
70-74,2018,Female,5632,,
75-79,2018,Female,6863,,
>79,2018,Female,27050,,
0-4,2018,Male,2186,,
"""05-09""",2018,Male,382,,
"""10-14""",2018,Male,475,,
15-19,2018,Male,825,,
20-24,2018,Male,151,,
25-29,2018,Male,1574,,
30-34,2018,Male,1733,,
35-39,2018,Male,1905,,
40-44,2018,Male,2241,,
45-49,2018,Male,2593,,
50-54,2018,Male,3286,,
55-59,2018,Male,4079,,
60-64,2018,Male,4742,,
65-69,2018,Male,5562,,
70-74,2018,Male,6881,,
75-79,2018,Male,7883,,
>79,2018,Male,24442,,
0-4,2019,Female,2517,,
"""05-09""",2019,Female,330,,
"""10-14""",2019,Female,384,,
15-19,2019,Female,578,,
20-24,2019,Female,672,,
25-29,2019,Female,815,,
30-34,2019,Female,953,,
35-39,2019,Female,1192,,
40-44,2019,Female,1543,,
45-49,2019,Female,2061,,
50-54,2019,Female,2566,,
55-59,2019,Female,3173,,
60-64,2019,Female,4011,,
65-69,2019,Female,4869,,
70-74,2019,Female,6018,,
75-79,2019,Female,7199,,
>79,2019,Female,29259,,
0-4,2019,Male,2943,,
"""05-09""",2019,Male,423,,
"""10-14""",2019,Male,469,,
15-19,2019,Male,980,,
20-24,2019,Male,1585,,
25-29,2019,Male,1795,,
30-34,2019,Male,1826,,
35-39,2019,Male,2011,,
40-44,2019,Male,2334,,
45-49,2019,Male,2694,,
50-54,2019,Male,3375,,
55-59,2019,Male,4061,,
60-64,2019,Male,5039,,
65-69,2019,Male,6017,,
70-74,2019,Male,7422,,
75-79,2019,Male,8101,,
>79,2019,Male,26356,,
