Child_ord,Year,7-17,18-23,24-35,36-47,48+
2-3,2015,3.4,7.6,15.5,13.6,60
4-6,2015,2.6,9.5,21.5,13.7,52.8
7+ ,2015,3.8,12.3,31.9,17.1,34.8
2-3,2016,3.1,7.4,15.1,13.2,61.2
4-6,2016,2.8,9.6,21.5,13.5,52.6
7+ ,2016,3,12.7,33.6,16.6,34.2
2-3,2017,2.7,7,15.1,12.7,62.4
4-6,2017,3.2,8.8,21.3,13.8,53
7+ ,2017,3.1,11.7,34,18.9,32.3
2-3,2018,2.7,6.8,15.4,12.7,62.4
4-6,2018,3.3,8.7,20.6,13.8,53.7
7+ ,2018,3.8,12.1,32.6,18.7,32.9
2-3,2020,2.3,6.2,12.2,11.9,67.4
4-6,2020,2.4,7.1,18.7,14.7,57.1
7+ ,2020,4.3,10.6,35.3,14,35.8
