Age_cat,Year,0,1,2,3,4,5,6,7,8,9,10+
15-19 ,2015,89.4,9.5,1.1,0,0,0,0,0,0,0,0
20-24 ,2015,53,32.3,11.7,2.6,0.4,0,0,0,0,0,0
25-29 ,2015,26.3,32.8,26.6,10.1,3.1,0.9,0.2,0,0,0,0
30-34 ,2015,13,24.4,31.3,18.4,7.8,3.1,1.4,0.4,0.1,0.1,0
35-39 ,2015,9.3,16,30.8,21.2,11.3,6,3.3,1.3,0.5,0.3,0.1
40-44 ,2015,7.2,11.7,26.7,22.1,13.9,8.6,4.3,2.6,1.4,0.9,0.6
45-49 ,2015,6.4,10.1,22.6,20.6,15.1,9.7,6,3.8,2.4,1.5,1.8
15-19 ,2016,89.9,8.9,1.1,0.1,0,0,0,0,0,0,0
20-24 ,2016,54.2,30.9,11.8,2.6,0.4,0.1,0,0,0,0,0
25-29 ,2016,25.8,32.4,27.3,10.5,2.9,0.8,0.3,0,0,0,0
30-34 ,2016,13.4,24.9,32,17.5,7.5,2.8,1.3,0.4,0.1,0,0
35-39 ,2016,10,16.2,30.5,21.7,11.4,5.5,2.8,1.1,0.5,0.3,0.1
40-44 ,2016,7.1,11.1,26.9,23.6,14,7.5,4.4,2.9,1.5,0.6,0.5
45-49 ,2016,6.8,9.7,22,21.9,15.4,9.5,6,3.5,2.3,1.5,1.5
15-19 ,2017,89.4,9.6,1,0,0,0,0,0,0,0,0
20-24 ,2017,54.9,30.8,11.5,2.5,0.3,0.1,0,0,0,0,0
25-29 ,2017,26.5,33,27.2,9.5,2.7,0.9,0.2,0,0,0,0
30-34 ,2017,14.9,24.6,32.7,17.2,6.8,2.4,0.9,0.3,0.1,0,0
35-39 ,2017,10.7,17.2,29.8,22.3,10.7,5.1,2.4,1,0.5,0.3,0.1
40-44 ,2017,8.1,12.8,26.6,22.9,14.2,6.9,4.1,2.3,1.4,0.4,0.4
45-49 ,2017,6.9,10.4,23,24.2,14.4,8.6,5.2,3.1,2,1.2,1.1
15-19 ,2018,90.7,8.3,1,0.1,0,0,0,0,0,0,0
20-24 ,2018,57,29.9,10.6,2,0.4,0.1,0,0,0,0,0
25-29 ,2018,29.6,33.4,25.3,8.5,2.5,0.6,0.1,0,0,0,0
30-34 ,2018,15.7,24.9,32,17.6,6.4,2.2,0.8,0.3,0.1,0,0
35-39 ,2018,10.1,17.3,31.8,22.2,10.3,4.6,1.9,1.1,0.4,0.2,0.2
40-44 ,2018,7,14.4,28,22.3,14,6.7,3.9,1.6,1.1,0.3,0.4
45-49 ,2018,7.2,11,25,23.7,13.1,8,5.2,2.9,2,1,0.9
15-19 ,2020,93.5,5.9,0.6,0.1,0,0,0,0,0,0,0
20-24 ,2020,64.8,24.9,8.5,1.5,0.2,0,0,0,0,0,0
25-29 ,2020,33.3,31.7,24.6,8,1.9,0.3,0.1,0,0,0,0
30-34 ,2020,15.9,25.8,31.8,17,6.4,2.3,0.5,0.2,0.1,0,0
35-39 ,2020,8.7,17.8,31.9,22.9,11.9,4.3,1.4,0.7,0.3,0.1,0.1
40-44 ,2020,6.5,13.2,28,26.2,13.1,7.1,3.5,1.4,0.7,0.2,0.2
45-49 ,2020,6,12.7,28.8,22.1,13.3,7.2,4.3,3,1.5,0.8,0.4
