Age_cat,Curr_child,Year,Add_child
15-19 ,0,2015,10.6
15-19 ,1,2015,1.1
15-19,2,2015,0
15-19,3,2015,0
15-19,4,2015,0
15-19,5,2015,0
20-24 ,0,2015,47
20-24 ,1,2015,14.7
20-24 ,2,2015,3
20-24 ,3,2015,0.4
20-24,4,2015,0
20-24,5,2015,0
25-29 ,0,2015,73.7
25-29 ,1,2015,40.9
25-29 ,2,2015,14.3
25-29 ,3,2015,4.2
25-29 ,4,2015,1.1
25-29 ,5,2015,0.2
30-34 ,0,2015,87
30-34 ,1,2015,62.6
30-34 ,2,2015,31.3
30-34 ,3,2015,12.9
30-34 ,4,2015,5.1
30-34 ,5,2015,2
35-39 ,0,2015,90.8
35-39 ,1,2015,74.8
35-39 ,2,2015,44
35-39 ,3,2015,22.8
35-39 ,4,2015,11.5
35-39 ,5,2015,5.5
40-44 ,0,2015,92.8
40-44 ,1,2015,81.1
40-44 ,2,2015,54.4
40-44 ,3,2015,32.3
40-44 ,4,2015,18.4
40-44 ,5,2015,9.8
45-49 ,0,2015,93.6
45-49 ,1,2015,83.5
45-49 ,2,2015,60.9
45-49 ,3,2015,40.3
45-49 ,4,2015,25.2
45-49 ,5,2015,15.5
15-19 ,0,2016,10.1
15-19 ,1,2016,1.2
15-19 ,2,2016,0.1
15-19,3,2016,0
15-19,4,2016,0
15-19,5,2016,0
20-24 ,0,2016,45.8
20-24 ,1,2016,14.9
20-24 ,2,2016,3.1
20-24 ,3,2016,0.5
20-24 ,4,2016,0.1
20-24,5,2016,0
25-29 ,0,2016,74.2
25-29 ,1,2016,41.8
25-29 ,2,2016,14.5
25-29 ,3,2016,4
25-29 ,4,2016,1.1
25-29 ,5,2016,0.3
30-34 ,0,2016,86.5
30-34 ,1,2016,61.6
30-34,2,2016,29.6
30-34,3,2016,12.1
30-34,4,2016,4.6
30-34,5,2016,1.8
35-39 ,0,2016,90.1
35-39 ,1,2016,73.9
35-39,2,2016,43.4
35-39,3,2016,21.7
35-39,4,2016,10.3
35-39,5,2016,4.8
40-44 ,0,2016,93
40-44 ,1,2016,81.9
40-44,2,2016,55
40-44,3,2016,31.4
40-44,4,2016,17.4
40-44,5,2016,9.9
45-49 ,0,2016,93.3
45-49 ,1,2016,83.6
45-49,2,2016,61.6
45-49,3,2016,39.7
45-49,4,2016,24.3
45-49,5,2016,14.8
15-19 ,0,2017,10.6
15-19 ,1,2017,1
15-19,2,2017,0
15-19,3,2017,0
15-19,4,2017,0
15-19,5,2017,0
20-24 ,0,2017,45.2
20-24 ,1,2017,14.4
20-24,2,2017,2.9
20-24,3,2017,0.4
20-24,4,2017,0.1
20-24,5,2017,0
25-29 ,0,2017,73.5
25-29 ,1,2017,40.5
25-29,2,2017,13.3
25-29,3,2017,3.8
25-29,4,2017,1.1
25-29,5,2017,0.2
30-34 ,0,2017,85
30-34 ,1,2017,60.4
30-34,2,2017,27.7
30-34,3,2017,10.5
30-34,4,2017,3.7
30-34,5,2017,1.3
35-39 ,0,2017,89.4
35-39 ,1,2017,72.2
35-39,2,2017,42.4
35-39,3,2017,20.1
35-39,4,2017,9.4
35-39,5,2017,4.3
40-44 ,0,2017,92
40-44 ,1,2017,79.2
40-44,2,2017,52.6
40-44,3,2017,29.7
40-44,4,2017,15.5
40-44,5,2017,8.6
45-49 ,0,2017,93.2
45-49 ,1,2017,82.8
45-49 ,2,2017,59.8
45-49 ,3,2017,35.6
45-49 ,4,2017,21.2
45-49 ,5,2017,12.6
15-19 ,0,2018,9.4
15-19 ,1,2018,1.1
15-19 ,2,2018,0.1
15-19,3,2018,0
15-19,4,2018,0
15-19,5,2018,0
20-24 ,0,2018,43
20-24 ,1,2018,13.1
20-24,2,2018,2.5
20-24,3,2018,0.5
20-24,4,2018,0.1
20-24,5,2018,0
25-29 ,0,2018,70.4
25-29 ,1,2018,37
25-29,2,2018,11.7
25-29,3,2018,3.2
25-29,4,2018,0.7
25-29,5,2018,0.1
30-34 ,0,2018,84.3
30-34 ,1,2018,59.4
30-34,2,2018,27.4
30-34,3,2018,9.8
30-34,4,2018,3.4
30-34,5,2018,1.2
35-39 ,0,2018,90
35-39 ,1,2018,72.7
35-39,2,2018,40.9
35-39,3,2018,18.7
35-39,4,2018,8.4
35-39,5,2018,3.8
40-44 ,0,2018,92.7
40-44 ,1,2018,78.3
40-44,2,2018,50.3
40-44,3,2018,28
40-44,4,2018,14
40-44,5,2018,7.3
45-49 ,0,2018,92.8
45-49 ,1,2018,81.8
45-49,2,2018,56.8
45-49,3,2018,33.1
45-49,4,2018,20
45-49,5,2018,12
15-19 ,0,2020,6.6
15-19 ,1,2020,0.7
15-19 ,2,2020,0.1
15-19,3,2020,0
15-19,4,2020,0
15-19,5,2020,0
20-24 ,0,2020,35.1
20-24,1,2020,10.2
20-24,2,2020,1.7
20-24,3,2020,0.2
20-24,4,2020,0
20-24,5,2020,0
25-29 ,0,2020,66.6
25-29 ,1,2020,34.9
25-29,2,2020,10.3
25-29,3,2020,2.3
25-29,4,2020,0.4
25-29,5,2020,0.1
30-34 ,0,2020,84.1
30-34 ,1,2020,58.3
30-34,2,2020,26.5
30-34,3,2020,9.5
30-34,4,2020,3.1
30-34,5,2020,0.8
35-39 ,0,2020,91.4
35-39 ,1,2020,73.6
35-39,2,2020,41.7
35-39,3,2020,18.8
35-39,4,2020,6.9
35-39,5,2020,2.6
40-44 ,0,2020,93.6
40-44 ,1,2020,80.4
40-44,2,2020,52.4
40-44,3,2020,26.2
40-44,4,2020,13.1
40-44,5,2020,6
45-49 ,0,2020,94.1
45-49 ,1,2020,81.4
45-49,2,2020,52.6
45-49,3,2020,30.5
45-49,4,2020,17.2
45-49,5,2020,10
