Age_cat,Gender,Year,Pop
0-4,Male,2000,1529128
0-4,Male,2005,1490550
0-4,Male,2010,1507635
0-4,Male,2015,1405989
0-4,Male,2020,1426865
0-4,Male,2021,1429061
0-4,Male,2022,1431044
5-9,Male,2000,1571815
5-9,Male,2005,1500411
5-9,Male,2010,1448311
5-9,Male,2015,1489950
5-9,Male,2020,1307892
5-9,Male,2021,1313359
5-9,Male,2022,1337146
10-14,Male,2000,1541751
10-14,Male,2005,1548016
10-14,Male,2010,1460884
10-14,Male,2015,1414928
10-14,Male,2020,1377943
10-14,Male,2021,1362451
10-14,Male,2022,1341874
15-19,Male,2000,1420347
15-19,Male,2005,1458074
15-19,Male,2010,1516863
15-19,Male,2015,1363394
15-19,Male,2020,1213318
15-19,Male,2021,1228918
15-19,Male,2022,1265499
20-24,Male,2000,1276691
20-24,Male,2005,1310718
20-24,Male,2010,1352860
20-24,Male,2015,1369138
20-24,Male,2020,1268429
20-24,Male,2021,1249221
20-24,Male,2022,1228303
25-29,Male,2000,1130636
25-29,Male,2005,1171765
25-29,Male,2010,1174210
25-29,Male,2015,1199885
25-29,Male,2020,1333702
25-29,Male,2021,1330977
25-29,Male,2022,1315993
30-34,Male,2000,967898
30-34,Male,2005,1044207
30-34,Male,2010,1044315
30-34,Male,2015,1109430
30-34,Male,2020,1313553
30-34,Male,2021,1328246
30-34,Male,2022,1332974
35-39,Male,2000,825092
35-39,Male,2005,902696
35-39,Male,2010,941096
35-39,Male,2015,994782
35-39,Male,2020,1237960
35-39,Male,2021,1262203
35-39,Male,2022,1276937
40-44,Male,2000,682759
40-44,Male,2005,780528
40-44,Male,2010,824270
40-44,Male,2015,896712
40-44,Male,2020,1144732
40-44,Male,2021,1170794
40-44,Male,2022,1187330
45-49,Male,2000,559287
45-49,Male,2005,642975
45-49,Male,2010,726157
45-49,Male,2015,789931
45-49,Male,2020,958363
45-49,Male,2021,992814
45-49,Male,2022,1028450
50-54,Male,2000,428807
50-54,Male,2005,527157
50-54,Male,2010,594373
50-54,Male,2015,687351
50-54,Male,2020,875725
50-54,Male,2021,893909
50-54,Male,2022,903107
55-59,Male,2000,345881
55-59,Male,2005,399556
55-59,Male,2010,487279
55-59,Male,2015,575904
55-59,Male,2020,759779
55-59,Male,2021,783444
55-59,Male,2022,801979
60-64,Male,2000,288353
60-64,Male,2005,323793
60-64,Male,2010,363491
60-64,Male,2015,484293
60-64,Male,2020,585142
60-64,Male,2021,610966
60-64,Male,2022,639634
65-69,Male,2000,228046
65-69,Male,2005,261841
65-69,Male,2010,294924
65-69,Male,2015,358529
65-69,Male,2020,488786
65-69,Male,2021,503321
65-69,Male,2022,512414
70-74,Male,2000,161826
70-74,Male,2005,198662
70-74,Male,2010,226401
70-74,Male,2015,277199
70-74,Male,2020,367550
70-74,Male,2021,382384
70-74,Male,2022,396016
75-79,Male,2000,103504
75-79,Male,2005,134246
75-79,Male,2010,159599
75-79,Male,2015,206739
75-79,Male,2020,248591
75-79,Male,2021,258224
75-79,Male,2022,268330
>79,Male,2000,76725
>79,Male,2005,98777
>79,Male,2010,143784
>79,Male,2015,197606
>79,Male,2020,282565
>79,Male,2021,293885
>79,Male,2022,302677
0-4,Female,2000,1465837
0-4,Female,2005,1436754
0-4,Female,2010,1464869
0-4,Female,2015,1347822
0-4,Female,2020,1361759
0-4,Female,2021,1363558
0-4,Female,2022,1365535
5-9,Female,2000,1511380
5-9,Female,2005,1441848
5-9,Female,2010,1389689
5-9,Female,2015,1437099
5-9,Female,2020,1287554
5-9,Female,2021,1288499
5-9,Female,2022,1302812
10-14,Female,2000,1479808
10-14,Female,2005,1488229
10-14,Female,2010,1397200
10-14,Female,2015,1346563
10-14,Female,2020,1362124
10-14,Female,2021,1350040
10-14,Female,2022,1330318
15-19,Female,2000,1348703
15-19,Female,2005,1402108
15-19,Female,2010,1352075
15-19,Female,2015,1319060
15-19,Female,2020,1252987
15-19,Female,2021,1265724
15-19,Female,2022,1290878
20-24,Female,2000,1218708
20-24,Female,2005,1283129
20-24,Female,2010,1267668
20-24,Female,2015,1289985
20-24,Female,2020,1422936
20-24,Female,2021,1402839
20-24,Female,2022,1360899
25-29,Female,2000,1113117
25-29,Female,2005,1163270
25-29,Female,2010,1181699
25-29,Female,2015,1192880
25-29,Female,2020,1378603
25-29,Female,2021,1398567
25-29,Female,2022,1413468
30-34,Female,2000,990593
30-34,Female,2005,1062452
30-34,Female,2010,1090189
30-34,Female,2015,1117606
30-34,Female,2020,1268034
30-34,Female,2021,1292197
30-34,Female,2022,1314555
35-39,Female,2000,869571
35-39,Female,2005,950274
35-39,Female,2010,1009775
35-39,Female,2015,1062875
35-39,Female,2020,1211570
35-39,Female,2021,1226189
35-39,Female,2022,1234090
40-44,Female,2000,732401
40-44,Female,2005,822825
40-44,Female,2010,908807
40-44,Female,2015,999733
40-44,Female,2020,1100490
40-44,Female,2021,1121022
40-44,Female,2022,1142236
45-49,Female,2000,609213
45-49,Female,2005,683534
45-49,Female,2010,787340
45-49,Female,2015,891923
45-49,Female,2020,979562
45-49,Female,2021,999696
45-49,Female,2022,1021007
50-54,Female,2000,477766
50-54,Female,2005,571197
50-54,Female,2010,653613
50-54,Female,2015,770525
50-54,Female,2020,884183
50-54,Female,2021,901725
50-54,Female,2022,916899
55-59,Female,2000,390536
55-59,Female,2005,433780
55-59,Female,2010,542632
55-59,Female,2015,634416
55-59,Female,2020,757447
55-59,Female,2021,780334
55-59,Female,2022,802799
60-64,Female,2000,330123
60-64,Female,2005,357700
60-64,Female,2010,407251
60-64,Female,2015,528666
60-64,Female,2020,624211
60-64,Female,2021,645359
60-64,Female,2022,667397
65-69,Female,2000,267674
65-69,Female,2005,292470
65-69,Female,2010,329315
65-69,Female,2015,394207
65-69,Female,2020,523102
65-69,Female,2021,540532
65-69,Female,2022,554198
70-74,Female,2000,198113
70-74,Female,2005,228096
70-74,Female,2010,260812
70-74,Female,2015,313593
70-74,Female,2020,376544
70-74,Female,2021,395713
70-74,Female,2022,417955
75-79,Female,2000,134181
75-79,Female,2005,162372
75-79,Female,2010,190118
75-79,Female,2015,233533
75-79,Female,2020,279157
75-79,Female,2021,288165
75-79,Female,2022,296694
>79,Female,2000,113872
>79,Female,2005,148332
>79,Female,2010,193411
>79,Female,2015,262253
>79,Female,2020,364790
>79,Female,2021,380968
>79,Female,2022,395251
